Chargers   , San Diego     ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Broncos    , Denver        ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Cowboys    , Dallas        ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Jaguars    , Jacksonville  ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Falcons    , Atlanta       ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Browns     , Cleveland     ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Lions      , Detroit       ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Colts      , Indianapolis  ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Steelers   , Pittsburgh    ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Bears      , Chicago       ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Cardinals  , Arizona       ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Buccaneers , Tampa Bay     ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Texans     , Houston       ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Bills      , Buffalo       ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Raiders    , Oakland       ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Packers    , Green Bay     ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Jets       , New York      ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
49ers      , San Francisco ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Redskins   , Washington    ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Bengals    , Cincinnati    ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Saints     , New Orleans   ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Rams       , St. Louis     ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Vikings    , Minnesota     ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Dolphins   , Miami         ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Ravens     , Baltimore     ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Eagles     , Philadelphia  ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Titans     , Tennessee     ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Panthers   , Carolina      ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Chiefs     , Kansas City   ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Seahawks   , Seattle       ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Giants     , New York      ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00
Patriots   , New England   ,           , 2012-11-27 00:00:00 , 2012-11-27 00:00:00